0	0
1	1
2	1
3	0
4	0
5	1
6	1
7	0
8	1
9	0
10	0
11	1
12	1
13	0
14	1
15	0
16	0
17	1
18	1
19	0
20	0
21	1
22	1
23	0
24	1
25	0
26	0
27	1
28	0
29	1
30	0
31	1
32	1
33	0
34	0
35	1
36	1
37	0
38	1
39	0
40	1
41	0
42	1
43	0
44	1
45	0
46	0
47	1
48	1
49	0
50	0
51	1
52	0
53	1
54	1
55	0
56	0
57	1
58	1
59	0
60	0
61	1
62	0
63	1
64	0
65	1
66	0
67	1
68	0
69	1
70	1
71	0
72	0
73	1
74	1
75	0
76	1
77	0
78	1
79	0
80	1
81	0
82	1
83	0
84	1
85	0
86	0
87	1
88	1
89	0
90	1
91	0
92	0
93	1
94	0
95	1
96	1
97	0
98	0
99	1
100	1
101	0
102	0
103	1
104	0
105	1
106	1
107	0
108	0
109	1
110	0
111	1
112	1
113	0
114	0
115	1
116	0
117	1
118	0
119	1
120	0
121	1
122	1
123	0
124	0
125	1
126	1
127	0
128	0
129	1
130	1
131	0
132	1
133	0
134	0
135	1
136	1
137	0
138	1
139	0
140	1
141	0
142	1
143	0
144	1
145	0
146	1
147	0
148	0
149	1
150	1
151	0
152	1
153	0
154	1
155	0
156	0
157	1
158	1
159	0
160	1
161	0
162	0
163	1
164	1
165	0
166	0
167	1
168	0
169	1
170	0
171	1
172	0
173	1
174	0
175	1
176	1
177	0
178	1
179	0
180	0
181	1
182	1
183	0
184	0
185	1
186	0
187	1
188	1
189	0
190	0
191	1
192	1
193	0
194	1
195	0
196	0
197	1
198	1
199	0
200	0
201	1
202	0
203	1
204	0
205	1
206	0
207	1
208	0
209	1
210	0
211	1
212	0
213	1
214	1
215	0
216	0
217	1
218	0
219	1
220	1
221	0
222	1
223	0
224	0
225	1
226	0
227	1
228	1
229	0
230	1
231	0
232	0
233	1
234	1
235	0
236	0
237	1
238	0
239	1
240	0
241	1
242	0
243	1
244	1
245	0
246	0
247	1
248	1
249	0
250	1
251	0
252	0
253	1
254	0
255	1
256	1
257	0
258	0
259	1
260	1
261	0
262	0
263	1
264	0
265	1
266	1
267	0
268	1
269	0
270	1
271	0
272	0
273	1
274	0
275	1
276	0
277	1
278	0
279	1
280	1
281	0
282	0
283	1
284 1
